title	url	content
Pemasaran tradisional	https://id.wikipedia.org/wiki/Pemasaran_tradisional	"Pemasaran tradisional adalah suatu strategi pemasaran bisnis yang menggunakan alat dan sarana yang mempunyai rupa fisik seperti pemasangan papan reklame di jalan, brosur yang ditempelkan di tembok, komunikasi atau interaksi secara tatap muka, dan sebagainya. Berdasarkan penelitian bersama yang dilakukan oleh Supriyandi, dapat diketahui jika metode ini jarang mengalami kerugian, meskipun revolusi digital terus berkembang pesat. Salah satu faktor yang menyebabkannya adalah mahalnya biaya pemasaran melalui melalui radio dan televisi . Sebaliknya, penggunaan papan reklame dan selebaran tidak hanya ramah anggaran, tetapi juga efektif dalam menjangkau para konsumen. Sebagian besar orang telah menyadari bahwa tren pemasaran saat ini telah berubah dengan cepat. Beberapa pemasar telah beralih ke platform digital untuk mempromosikan brand melalui situs perdagangan elektronik , iklan Google , dan toko daring dikarenakan platform tersebut dapat menarik jumlah konsumen yang banyak. Namun, terdapat sebagian masyarakat yang belum memahami, bahkan tidak mengetahui cara menggunakan internet . Hal inilah yang menyebabkan pemasaran tradisional pada era digital belum sepenuhnya hilang. Menurut penelitian bersama yang dilakukan oleh Supriyandi, pemasaran tradisional jarang mengalami kerugian, meskipun revolusi digital terus berkembang pesat. ... menambahkan jika sebagian pemasar mengenali teknik pemasaran tradisional mempunyai relevansi apabila dikombinasikan dengan strategi pemasaran daring .  Salah satu faktor yang menyebabkan metode pemasaran tradisional masih berjalan kuat dan menguasai dunia perdagangan adalah mahalnya biaya pemasaran melalui radio dan televisi. Sebaliknya, penggunaan papan reklame dan selebaran tidak hanya ramah anggaran, tetapi juga efektif dalam menjangkau para konsumen. Penelitian bersama yang dilakukan oleh Supriyandi menguraikan bahwa setidaknya terdapat tiga sarana yang digunakan dalam pemasaran tradisional, yaitu: Papan reklame atau baliho merupakan sarana umum yang digunakan dalam pemasaran tradisional. Media tersebut menggunakan gambar cetak atau lukisan tangan di atas kanvas. Mode pemasaran tradisional ini menggunakan lebih sedikit teks dan lebih banyak gambar karena sebuah gambar memiliki ribuan makna. Gambar yang menarik sangat bagus untuk meningkatkan brand awareness . Hal ini menjadikan papan reklame sebagai metode yang mudah untuk dikenal karena sebuah papan besar di jalan raya tidak akan pernah bisa untuk diabaikan oleh seluruh pengguna jalan. Sejumlah tempat usaha seperti penjual barang elektronik dan pasar modern di pinggir jalan atau di dalam mal masih menggunakan metode menyebarkan selebaran dan brosur. Metode ini masih sering digunakan, terutama untuk memberikan informasi seputar diskon dan penawaran khusus. Pemasaran tradisional yang dilakukan dengan bertatap muka menjadi jauh lebih terhubung dan interaktif. Jangan meremehkan kekuatan hand-out untuk menghadirkan peluang pertumbuhan baru bagi bisnis Anda. Sarana untuk menyebarkan pesan seperti ini membangkitkan tanggapan yang kuat dan jangkauan yang lebih luas bagi pemasar. Saat ini, televisi masih menjadi pilihan bagi pemasar untuk bisa mengenalkan brand -nya ke masyarakat luas. Walaupun ketertarikan masyarakat terhadap televisi mulai berkurang, ternyata masih banyak orang dari kalangan tertentu yang setia menonton tayangan di televisi. Dengan menempatkan dan mengatur waktu tayang iklan di televisi, seorang pemasar dapat mempromosikan produknya ke target konsumen yang lebih tersegmentasi. Traditional marketing adalah tentang bagaimana Anda dapat menjangkau khalayak umum yang lebih luas yang dapat dihitung dengan angka. Makin banyak orang melihat iklan Anda, makin banyak prospek yang dapat dihasilkan. Hal ini dapat membuktikan bahwa pemasaran tradisional lebih efektif dalam menciptakan brand awareness sehingga tidak hanya mengundang konsumen baru, tetapi juga membuat mereka untuk terus membeli produk Anda yang berujung pada loyalitas konsumen. Traditional marketing lebih membutuhkan banyak usaha dan sumber daya untuk bisa berhasil dalam memasarkan suatu produk. Satu hal yang perlu diperhatikan bagi pemasar saat menggunakan metode ini adalah dalam beberapa kasus, traditional marketing juga bisa digabungkan dengan digital marketing , sesuai dengan kebutuhan. Berikut adalah keuntungan dan kekurangan memakai strategi traditional marketing : Jika Anda ingin menjangkau segmen demografis yang lebih tua, pemasaran tradisional bisa sangat efektif. Menurut GlobeNewswire, penonton berusia 50 tahun ke atas menghabiskan waktu hampir dua kali lebih banyak untuk membaca koran dan menonton TV dibandingkan dengan mereka yang berusia 21-34 tahun. Jenis strategi pemasaran ini ditujukan untuk dapat menjangkau konsumen yang lebih luas. Bisnis yang lebih kecil biasanya memasarkan produknya melalui papan reklame dan selebaran. Iklan di TV atau radio dapat diputar beberapa kali saat acara sedang berlangsung untuk mengingatkan orang tentang kehadiran brand tersebut, sementara iklan online dapat dilewati atau diblokir (misalnya, mengklik ""Saya tidak ingin melihat ini"" di sebuah iklan media sosial, atau dengan menge-klik skip). Mencetak brosur dan selebaran dalam jumlah banyak membutuhkan biaya yang mahal dan tidak ada jaminan bahwa penerima brosur dapat tertarik dengan produk atau layanan yang Anda tawarkan. Metode pemasaran tradisional membutuhkan waktu yang lama untuk mendapatkan hasil dan data mengenai keberhasilan pemasaran. Anda tidak tahu apakah seseorang telah membaca iklan yang terpampang di surat kabar kecuali mereka memutuskan untuk menindaklanjutinya dengan melakukan pembelian."
Fluks magnetik	https://id.wikipedia.org/wiki/Fluks_magnetik	"Fluks magnetik (sering disimbolkan Φ m ), adalah ukuran atau jumlah medan magnet B yang melewati luas penampang tertentu, misalnya kumparan kawat (hal ini sering pula disebut ""kerapatan medan magnet""). Satuan fluks magnetik dalam Satuan Internasional adalah weber (Wb) (Weber merupakan satuan turunan dari volt-detik). Sedang satuan menggunakan sistem CGS adalah maxwell . Fluks magnetik yang melalui bidang tertentu sebanding dengan jumlah medan magnet yang melalui bidang tersebut. Jumlah ini termasuk pengurangan atas medan magnet yang berlawanan arah. Jika medan magnet seragam melalui bidang dengan tegak lurus, nilai fluks magnetik didapat dari perkalian antara medan magnet dan luas bidang yang dilaluinya. Fluks magnetik yang datang dengan sudut tertentu diperoleh menggunakan perkalian titik antara medan magnet dan vektor luas a . diamana θ adalah sudut datang B menurut vektor a (vektor a adalah vektor normal, yaitu tegak lurus dengan bidang). Umumnya, fluks magnetik yang melalui bidang S dinyatakan sebagai integral dari medan magnet atas luas bidang. di mana Φ m {\displaystyle \textstyle \Phi _{m}\ } adalah fluks magnetik, B adalah medan magnet, S adalah luas bidang, tanda "" ⋅ {\displaystyle \cdot } "" menunjukkan operasi perkalian titik , dan d S adalah vektor infinitesimal (kecil tak berhingga), yang magnitudonya adalah elemen luas diferensial dari S , yang arahnya adalah tegak lurus bidang. Fluks magnetik biasanya diukur dengan fluksmeter. Alat ini berisi kumparan dan rangkaian yang mampu menghitung fluks magnetik berdasarkan pada perubahan tegangan yang disebabkan oleh perubahan medan magnet yang melalui kumparan di dalam alat ini. Hukum Gauss untuk magnetisme , yang merupakan satu dari empat Persamaan Maxwell , menyatakan bahwa jumlah fluks magnetik yang melalui bidang tertutup sama dengan nol. (""bidang tertutup"" adalah bidang yang melingkupi suatu ruang tanpa celah.) Dengan kata lain, hukum Gauss untuk magnetisme menyatakan: untuk setiap bidang tertutup S . Jika fluks magnetik yang melalui bidang tertutup selalu berjumlah nol, fluks magnetik yang melalui bidang terbuka tidak selalu nol dan nilai ini sangat penting dalam teori elektromagnetisme . Contohnya, perubahan fluks magnetik yang melalui kumparan kawat akan menimbulkan Gaya gerak listrik (GGL), yang kemudian menyebabkan adanya arus listrik , dalam kumparan. Perhitungannya diberikan melalui Hukum Faraday : di mana: GGL yang timbul dalam persamaan di atas ditentukan dengan dua cara: pertama, sebagai jumlah usaha yang dilakukan tiap satuan muatan untuk melawan Gaya Lorentz supaya muatan dapat (cenderung) bergerak sepanjang kurva ∂Σ ( t ), dan kedua, sebagai fluks magnetik yang melalui bidang terbuka Σ ( t ). Persamaan ini merupakan prinsip dasar pembuatan generator listrik . Bertolak belakang dari fluks magnetik, Hukum Gauss tentang medan listrik, juga merupakan salah satu dari empat Persamaan Maxwell , adalah: di mana Perlu diperhatikan bahwa jumlah fluks listrik yang melalui bidang tertutup tidak selalu nol; hal ini menandakan adanya monopole kelistrikan, yaitu muatan listrik dapat bernilai negatif saja atau positif saja."
Spasi penggabung	https://id.wikipedia.org/wiki/Spasi_penggabung	"Pada pengolah kata dan pengetikan digital, spasi penggabung atau jarak penggabung ( bahasa Inggris : non-breaking space ["" ""]) disebut juga no-break space , non-breakable space ( NBSP ), hard space , atau fixed space ,  adalah sebuah karakter yang mencegah pemecahan baris otomatis ( automatic line break ) terhadap posisinya. Pada HTML, karakter tersebut digunakan untuk mencegah beberapa karakter kosong (bukan karakter null ) agar tidak melebur menjadi satu spasi. Pada HTML, karakter ini ditulis &nbsp; atau &#160; . Pada Unicode, karakter ini diidentifikasi sebagai U+00A0 . Walaupun mempunyai ciri fisik yang sama seperti tanda spasi biasa, namun perilakunya berbeda dengan spasi biasa.   Perangkat lunak pengolah kata biasanya mengasumsikan bahwa mekanisme pemecah baris otomatis dapat dilakukan di bagian dokumen mana pun ketika ada karakter spasi yang terdeteksi, sehingga baris baru dapat menggantikan tanda spasi yang bersangkutan; jika perangkat lunak tersebut mengenali karakter spasi penggabung, maka karakter tersebut akan mencegah dua kalimat yang diapitnya tersebut dipisahkan oleh mekanisme tersebut. Misalkan, jika karakter ""100 km"" tidak muat dalam satu baris, maka perangkat lunak tersebut akan memecah kalimat tersebut sehingga kata ""100"" tetap berada di baris tempatnya berada, sementara kata ""km"" berada di baris baru. Penggunaan spasi penggabung pada ""100 km"" akan mencegah hal tersebut terjadi. Kalaupun kalimat tersebut tidak muat dalam suatu baris, kedua kalimat tersebut akan dipindahkan ke baris baru. Penggunaan umum dari spasi penggabung yang lain adalah pada berkas teks polos seperti SGML , HTML , TeX , dan LaTeX , yang mesin pe- render -nya diprogram untuk melebur dua atau lebih karakter kosong (spasi, baris baru, tab, dll.) menjadi satu spasi. Perilaku tersebut mengizinkan pembuat untuk menyusun kata sumber menggunakan pemecah baris, indentasi, dan penjarakan apapun tanpa mempengaruhi hasil akhir yang diinginkan.   Sementara itu, spasi penggabung tidak digabungkan dengan katakter kosong tetangganya jika ditampilkan, dan dapat digunakan untuk pembuat untuk memasukkan semacam penjarakan tambahan pada hasil akhir tanpa menggunakan span dengan menggunakan properti ""white-space"" yang ada pada CSS . &#160; atau &#xA0;"
Penguat	https://id.wikipedia.org/wiki/Penguat	Penguat suara ( bahasa Inggris : audio power amplifier ) adalah rangkaian komponen elektronika yang digunakan untuk menguatkan daya atau tenaga secara umum. Dalam bidang audio , amplifier akan menguatkan sinyal suara berbentuk analog dari sumber suara yaitu memperkuat arus sinyal dan tegangan listrik berbentuk sinyal arus bolak-balik dari inputnya menjadi arus listrik bolak-balik dan tegangan yang lebih besar, juga dayanya akan menjadi lebih besar di bagian keluarannya. Besarnya penguatan sering dikenal dengan istilah gain . Nilai dari gain yang dinyatakan sebagai fungsi penguat frekuensi audio, gain power amplifier antara 20 sampai 100 kali dari masukan sinyal. Gain merupakan hasil bagian dari daya di bagian keluaran dengan daya di bagian keluarannya dalam bentuk bentuk frekuensi listrik arus bolak-balik. Ukuran dari gain menggunakan satuan desibel . Dalam bentuk rumus dinyatakan sebagai berikut: G (dB) = 10 log (Pout/Pin). Pout adalah daya pada bagian keluaran, dan Pin adalah daya pada bagian masukannya. Sebelum dayanya dikuatkan pada penguat daya, ada bagian pengatur suara yaitu terdiri dari volume , bass , treble , balance , dan loudness . Dalam bagian rangkaian penguat daya pada proses penguatan audio ini terbagi menjadi dua kelompok bagian penting yaitu bagian penguat tegangan sinyal disebut driver kebanyakan menggunakan susunan transistor darlington , dan bagian penguat arus atau penguat daya susunannya transistor paralel, masing-masing transisistor berdaya besar dan menggunakan sirip pendingin untuk membuang panas ke udara, sekarang ini banyak yang menggunakan transistor komplementer simetris. Artikel bertopik teknologi ini adalah sebuah rintisan . Anda dapat membantu Wikipedia dengan mengembangkannya .
Komputer analog	https://id.wikipedia.org/wiki/Komputer_analog	"Komputer analog adalah istilah yang digunakan untuk menggambarkan alat penghitung yang bekerja pada level analog . Level analog di sini adalah lawan ( dual ) dari level digital , yang mana level digital adalah level tegangan 'high' (tinggi) dan 'low' (rendah), yang digunakan dalam implementasi bilangan biner. Secara mendasar, komponen elektronik yang digunakan sebagai inti dari komputer analog adalah op-amp ( operational amplifier ). komputer digital Adalah mesin komputer yang diciptakan untuk mengolah data yang bersifat kuantitatif dalam bentuk angka, huruf, tanda baca dan lain-lain. Yang pemrosesnya dilaksanakan berdasarkan teknologi yang mengubah sinyal menjadi kombinasi bilangan 0 dan 1. Merupakan hasil teknologi yang mengubah sinyal menjadi kombinasi urutan bilangan 0 dan 1 (disebut juga dengan biner)untuk proses informasi yang mudah, cepat dan akurat. Sinyal tersebut disebut sebuah bit.
Sinyal digital ini memiliki berbagai keistimewaan yang unik yang tidak dapat ditemukan pada teknologi analog, yaitu:
1. Mampu mengirimkan informasi dengan kecepatan cahaya yang dapat membuat informasi dapat dikirim dengan kecepatan tinggi.
2. Penggunaan yang berulang-ulang terhadap informasi tidak memengaruhi kualitas dan kuantitas informasi itu sendiri,
3. Informasi dapat dengan mudah diproses dan dimodifikasi ke dalam berbagai bentuk,
4. Dapat memproses informasi dalam jumlah yang sangat besar dan mengirimnya secara interaktif.
Komputer mengolah data yang ada adalah secara digital, melalui sinyal listrik yang diterimanya atau dikirimkannya. Pada prinsipnya, komputer hanya mengenal dua arus, yaitu on atau off, atau istilah dalam angkanya sering juga dikenal dengan 1 (satu) atau 0 (nol). Kombinasi dari arus on atau off inilah yang mampu membuat komputer melakukan banyak hal, baik dalam mengenalkan huruf, gambar, suara, bahkan film-film menarik yang anda tonton dalam format digital. komputer hybrid adalah jenis Komputer yang diperuntukkan untuk pengolahan data yang sifatnya baik kuantitatif maupun kualitatif, atau dengan istilah lain menggabungkan kemampuan digital dengan analog. Dengan perkataan lain data kuantitatif yang diolah menghasilkan data kualitatifnya dan sebaliknya."
Pasangan berbelit terlindung	https://id.wikipedia.org/wiki/Pasangan_berbelit_terlindung	Pasangan berbelit terlindung  ( bahasa Inggris : Shielded Twisted Pair , biasa disebut STP) merupakan bagian dari kabel tembaga yang memiliki dua pembungkus pada masing-masing kabelnya.  Pelindung tersebut terdapat pada setiap pasang kabelnya yang dilindungi oleh timah dan setiap pasang kabel tersebut masing-masing dilapisi dengan pelindung.  Kabel STP terdiri dari 4 jalinan yang erat dengan inci yang berbeda-beda pada tiap jenis STP. STP biasa digunakan bersamaan dengan konektor RJ-45 yang mampu mengirimkan data lebih banyak dari jaringan area lokal .  Artikel bertopik elektronika ini adalah sebuah rintisan . Anda dapat membantu Wikipedia dengan mengembangkannya .
Scenario Based Requirement Analysis Method	https://id.wikipedia.org/wiki/Scenario_Based_Requirement_Analysis_Method	" Scenario Based Requirement Analysis Method (disingkat SCRAM ) adalah salah satu metode rekayasa kebutuhan berbasis skenario . Terdapat dua metode rekayasa kebutuhan yang telah menempatkan peran penting bagi skenario, yaitu ScenIC  dan SCRAM.    Dalam metode SCRAM, skenario digunakan bersama prototipe awal untuk memperoleh kebutuhan sebagai respon dari desain awal. Pada dasarnya, pendekatan ini menggabungkan peran skenario pada proses elisitasi dan validasi dengan cara menyediakan konteks bagi pengguna untuk menilai desain yang menggambarkan skenario penggunaan.  SCRAM menggabungkan concept demonstrator , skenario, dan design rationale .  SCRAM menggunakan metode penelusuran naskah skenario untuk memvalidasi opsi desain untuk 'poin utama' dalam naskah. Desain alternatif didokumentasikan dalam design rationale dan dijelaskan pada pengguna melalui demo prototipe awal.  SCRAM terbukti bermanfaat untuk memfasilitasi requirement elaboration begitu prototipe awal dibuat.  Kamus Bahasa Inggris Oxford mendefinisikan skenario sebagai ""ikhtisar atau naskah film dengan detail adegan atau bayangan urutan kejadian pada masa yang akan datang"".  Dalam konteks rekayasan kebutuhan, skenario didefinisikan sebagai fakta yang menggambarkan sistem saat ini dan lingkungannya, termasuk juga perilaku dari agen dan informasi konteks yang memadai untuk memungkinkan adanya penemuan dan validasi kebutuhan sistem. Skenario merupakan contoh pengalaman nyata yang dialami pengguna selama menggunakan sistem.  Skenario dianjurkan sebagai metode komunikasi yang efektif antara pengguna dan stakeholder , serta dapat menangkap analisis kebutuhan dalam pengalaman di dunia nyata yang dapat diekspresikan dalam bahasa alami , gambar, atau media lainnya.    Skenario yang merupakan representasi dari dunia nyata digeneralisasikan selama proses analisis kebutuhan untuk menghasilkan sebuah model yang familier bagi praktisi dalam bidang rekayasa kebutuhan dan rekayasa perangkat lunak .  Representasi informil lainnya, seperti design rationale  dapat menangkap keputusan desain yang didapatkan dari pernyataan masalah berbasis skenario, spesifikasi model dan spesifikasi kebutuhan diubah menjadi desain dan kemudian akan diimplementasikan. Selama proses itu, skenario yang menggambarkan perilaku dari artifak yang dirancang memiliki peran dalam proses validasi. Dalam hal ini, skenario serupa dengan model, baik dalam format maupun konten, meskipun keduanya biasanya mengilustrasikan urutan perilaku yang valid dalam batasan spesifikasi kebutuhan.  Dalam rute pengembangan alternatif melalui prototyping , skenario berfungsi sebagai inspirasi desain dan bahan untuk menguji desain prototipe.    Skenario dapat digunakan sebagai bahan pertimbangan untuk sebuah desain dan juga sebagai naskah uji dalam metode evaluasi.   Skenario memiliki 3 peran berbeda, yaitu: SCRAM tidak secara eksplisit mencakup pemodelan dan spesifikasi, karena kedua hal tersebut dianggap berkembang secara paralel, mengikuti metode rekayasa perangkat lunak pilihan perancang.  Metode ini terdiri dari empat fase, yaitu: Fase ini dilakukan dengan wawancara konvensional dan teknik pencarian fakta untuk mendapatkan informasi yang cukup untuk mengembangkan concept demonstrator pertama. Initial Requirements Capture mengumpulkan fakta tentang domain dan menangkap sasaran tingkat tinggi pengguna untuk sistem yang akan dibangun. Skenario muncul sebagai contoh penggunaan sehari-hari dari sistem saat ini, dengan serangkaian masalah yang dihadapi dan bagaimana masalah tersebut ditangani. Jika dalam proses pencarian fakta menemui beberapa masalah, hal terbaik yang harus dilakukan adalah mencari kesamaan antara setiap versi individu yang berbeda dan membuat "" normal use case "" yang umum. Setelah use case tersedia, kumpulkan satu set exceptions , yaitu jalur alternatif dalam use case . Jumlah dari alternatif yang diperlukan tergantung pada kompleksitas sistem dan safety criticality. Fase ini juga menangkap sasaran tingkat tinggi pengguna.  Fase ini menciptakan visi awal dari sistem yang diperlukan yang dijelaskan kepada pengguna dalam penelusuran storyboard untuk mendapatkan umpan balik tentang kelayakan sistem. Storyboard dibuat dengan mengembangkan desain awal dari sub-set skenario use case yang dikumpulkan dalam fase 1. Storyboard adalah sketsa atau layar tiruan yang menunjukkan langkah-langkah kunci dalam interaksi sistem pengguna. Analis menganalisis storyboard dengan menjelaskan apa yang terjadi pada setiap tahap dalam fungsi sistem, dan meminta pendapat pengguna. Umpan balik yang lebih baik akan diperoleh dengan menunjukkan prototipe interaktif pada fase selanjutnya, yaitu Requirements Exploration .  Tahap ini menggunakan concept demonstrator dan prototipe awal untuk menyajikan desain yang lebih rinci kepada pengguna dalam demonstrasi semi interaktif skenario sehingga desain dapat dikritik dan kebutuhan sistem dapat divalidasi . Concept Demonstrator adalah prototipe awal dengan fungsi dan interaktivitas terbatas, sehingga hanya dapat dijalankan sebagai skrip . Skrip menggambarkan skenario tindakan pengguna yang khas dengan respon sistem yang ditiru oleh perancang. Concept demonstrator berbeda dari prototipe karena hanya fungsionalitas minimal saja yang diterapkan dan pengguna tidak dapat dengan mudah berinteraksi dengan demonstrator. Skenario kontekstual dikembangkan berdasarkan analisis domain awal yang menggambarkan situasi yang diambil dari konteks kerja pengguna, skenario kontekstual tersebut juga harus berisi latar belakang yang mencukupi untuk menempatkan tindakan, yang dapat memberikan informasi yang cukup kepada pengguna untuk menafsirkan skrip. Para pengguna diundang untuk mengkritik concept demonstrator . Concept demonstrator dijelaskan oleh analis, sementara anggota tim desain lain berinteraksi dengan sistem. Pengujian langsung yang bersifat terbatas dapat diberikan pada sesi ini. Dalam fase selanjutnya, para pengguna didorong untuk mengklarifikasi setiap poin yang mereka temukan ambigu, kembali ke bagian mana pun dari demonstrasi, dan menguraikan kebutuhan lebih lanjut. Requirement engineer juga dapat menindaklanjuti poin yang diajukan atau komentar yang dibuat pengguna selama sesi tersebut. Skenario dapat dihubungkan dengan keputusan yang ditunjukkan dalam diagram design rationale yang menggambarkan trade-off dan asumsi yang mempengaruhi pilihan. Tautan lebih lanjut dapat melengkapi jalur dari skenario ke spesifikasi kebutuhan yang lebih formal.  Fase ini mengembangkan prototipe yang lebih fungsional dan terus menyempurnakan kebutuhan sistem sampai prototipe disetujui untuk dapat diterima oleh semua pengguna. Setelah demonstrasi selesai, ringkasan dari kebutuhan akan dicantumkan. Kebutuhan-kebutuhan tersebut akan dibahas dan diberi prioritas menggunakan skala. Design rationale dapat digunakan dalam langkah ini untuk membantu diskusi terstruktur tentang trade-off desain dengan kriteria penilaian (sering kali kebutuhan non-fungsional) yang dapat digunakan untuk menilai manfaat dari solusi alternatif. Proses ini dapat diulangi menggunakan prototipe yang lebih fungsional sesuai kebutuhan. "
Derau	https://id.wikipedia.org/wiki/Derau	Derau ( bahasa Inggris : noise ) adalah suatu sinyal gangguan yang bersifat akustik ( suara ), elektris, maupun elektronis yang hadir dalam suatu sistem ( rangkaian listrik / elektronika ) dalam bentuk gangguan yang bukan merupakan sinyal yang diinginkan. Sumber derau dapat dikelompokkan dalam tiga kategori: Derau bisa pula berkaitan dengan bunyi dan gangguan suara. Secara kelistrikan, derau ditakrifkan sebagai tenaga elektris yang tidak diinginkan. Misalnya, dalam rekaman suara, ada tenaga berlistrik yang tidak dikehendaki berkisar antara 0 – 15 kHz, akan mencampur dan mengganggu musik , yang selanjutnya disebut sebagai derau. Derau dan noise sebenarnya berbeda derau biasanya gangguan dari satu atau beberapa sinyal frekuensi dan frekuensinya rendah, noise merupakan gangguan sinyal frekuensi yang sangat kompleks dan acak pada jalur frekuensinya lebih tinggi dari frekuensi derau.   Derau dapat memberikan efek gangguan pada sistem komunikasi dalam 3 area: Tujuan sistem komunikasi adalah untuk mengirimkan data sebanyak mungkin sesuai dengan waktu yang direncanakan, dengan menggunakan cukup lebar pita , daya , dan saluran yang tersedia. Jika derau memberi efek gangguan pada sistem, baik karena kesalahan pada sistem penerimaan sinyal maupun kegagalan sistem (malafungsi), perancang dan pengguna sistem harus mengganti sistem tersebut. Untuk mengatasi derau ini diperlukan penapis untuk mengurangi gangguan derau supaya sinyal yang dikirim tidak tertekan oleh derau. Namun, apa pun cara yang digunakan, sistem komunikasi menjadi tidak efisien karena membuang banyak waktu dan tenaga untuk mengatasi derau.
Rocky Linux	https://id.wikipedia.org/wiki/Rocky_Linux	"Rocky Linux adalah distribusi Linux yang dikembangkan oleh Rocky Enterprise Software Foundation, Ini dimaksudkan untuk menjadi hilir, menyelesaikan kompatibel biner menggunakan Red Hat Enterprise Linux (RHEL) kode sumber sistem operasi.  Tujuan proyek adalah untuk menyediakan sistem operasi perusahaan production-grade yang didukung komunitas. Rocky Linux, bersama dengan Red Hat Enterprise Linux dan SUSE Linux Enterprise, telah menjadi populer untuk penggunaan sistem operasi perusahaan.   Versi pertama dari Rocky Linux dirilis pada 30 April 2021, dan versi ketersediaan umum pertamanya dirilis pada 21 Juni 2021. Rocky Linux 8 akan didukung hingga Mei 2029  dan Rocky Linux 9 hingga Mei 2032.  Pada tanggal 8 Desember 2020, Red Hat mengumumkan bahwa mereka akan menghentikan pengembangan CentOS , yang telah menjadi versi downstream siap produksi dari Red Hat Enterprise Linux , demi versi upstream yang lebih baru varian pengembangan dari sistem operasi tersebut dikenal sebagai ""CentOS Stream"".  Sebagai tanggapan, Gregory Kurtzer, CEO penyedia dukungan Rocky Linux CIQ  dan salah satu pendiri asli CentOS, mengumumkan bahwa ia akan memulai proyek baru untuk mencapai tujuan awal CentOS.  dari Rocky Linux telah menjadi repositori tren teratas di GitHub .  Pada tanggal 22 Desember 2020, manajer komunitas Rocky Linux Jordan Pisaniello mengumumkan bahwa target rilis awal antara Maret dan Mei 2021. Pada 20 Januari 2021, diumumkan bahwa repositori pengujian akan tersedia untuk umum pada akhir Februari, dan kandidat rilis telah mencapai target pada akhir Maret 2021.  Namun, tanggal tersebut sedikit diundur,  dan pada tanggal 30 April 2021, kandidat rilis pertama secara resmi dirilis.  Kandidat rilis kedua, versi 8.4, yang terakhir sebelum rilis stabil, dirilis pada 4 Juni 2021.  Nomor versi tinggi didasarkan pada penunjukan RHEL. Rocky Linux adalah tiruan dari RHEL, yang juga kompatibel dengan biner dan sudah didukung oleh banyak sponsor besar yang kuat secara finansial.  Pada tanggal 21 Juni 2021, rilis stabil Rocky Linux 8.4 dirilis,  dengan nama kode ""Green Obsidian"".  Beberapa gambar ISO yang dirilis oleh Rocky Enterprise Software Foundation tidak memiliki  sumber hulu langsung. Mereka dibuat untuk tujuan tertentu, seperti untuk menyediakan image live bootable, atau untuk menyediakan media instalasi berukuran kecil.  * Rocky Linux diumumkan 8 Desember 2020, rilis beta pertama adalah 143 hari kemudian."
Perangkat keras	https://id.wikipedia.org/wiki/Perangkat_keras	"Perangkat keras ( bahasa Inggris : hardware ) adalah semua bagian fisik komputer , dan ini dibedakan dengan data yang berada di dalamnya atau yang beroperasi di dalamnya seperti peranti lunak ( software ) yang menyediakan instruksi untuk perangkat keras dalam menyelesaikan tugasnya (secara otomatis).  Batasan antara perangkat keras dan perangkat lunak akan sedikit buram jika kita berbicara mengenai peranti tegar ( firmware ) karena ini adalah peranti lunak yang ""dibuat"" menjadi peranti keras. Peranti tegar ini merupakan wilayah dari bidang ilmu komputer dan teknik komputer , yang jarang dikenal oleh pengguna umum. Seperti, RAM, CPU, tetikus , papan tik , pemindai , monitor , mesin cetak , dan sebagainya.  Komputer pada umumnya adalah komputer pribadi dalam bentuk mejantara atau susunan menara kotak yang terdiri dari bagian berikut: Sebagai tambahan, perangkat keras dapat memasukkan komponen luar lainnya. Di bawah ini merupakan komponen baku atau yang umum digunakan. Perkembangan teknologi elektronik yang paling pesat dan banyak dipakai dibanyak bidang dalam menyelesaikan pekerjaan maupun untuk memperoleh informasi tidak lain adalah komputer. Perkembangan komputer ini dikarenakan perkembangan mikroprosesor sebagai otak dalam menangani keseluruhan dari kerja komputer. sesuai dengan waktu evolusi generasi-generasi prosesor yang baru bermunculan dengan kinerja yang lebih canggih, baik dari segi mutu maupun kerumitannya. Perkembangan jenis komputer: Pangsa pasar yang menggiurkan untuk teknologi komputer di Indonesia menyebabkan prosesor yang ada di pasaran tidak hanya produk Intel Co. saja, tetapi perusahaan lain seperti AMD juga muncul."
